row,original_name,ncbi_name
45,Johnsonella HOT.166,Johnsonella ignava
46,Lachnospiraceae [G-8] HOT.500,uncultured Lachnospiraceae bacterium
47,Leptotrichiaceae [G-1] HOT.220,uncultured Leptotrichiaceae bacterium
48,Peptostreptococcaceae [XI][G-2] HOT.091,uncultured Peptostreptococcaceae bacterium
49,Peptostreptococcaceae [XI][G-4] HOT.369,uncultured Peptostreptococcaceae bacterium
50,Peptostreptococcaceae [XIII][G-1] HOT.113,uncultured Peptostreptococcaceae bacterium
51,Selenomonas HOT.134,uncultured Selenomonas sp.
52,Treponema HOT.255,uncultured Treponema sp.
53,Treponema HOT.264,uncultured Treponema sp.
54,Treponema HOT.268,uncultured Treponema sp.
55,Actinomyces odontolyticus (853707),Actinomyces odontolyticus
56,Capnocytophaga sp. oral clone X089 (9988944),Capnocytophaga sp.
57,Desulfobulbus sp. oral clone CH031 (10048312),Desulfobulbus sp.
58,Human oral bacterium C20 (6671248),uncultured human oral bacterium
59,Klebsiella pneumoniae strain ATCC13884T (3282032),Klebsiella pneumoniae
60,Neisseria flava strain U40 (5327199),Neisseria flava
61,Neisseria sp. oral clone AP015 (10048301),Neisseria sp.
62,Neisseria sp. oral strain B33KA (10048304),Neisseria sp.
63,Neisseria subflava (5327189),Neisseria subflava
64,Prevotella nigrescens ATCC 33563 (294425),Prevotella nigrescens
65,Propionibacterium avidum DSM 4901 (2644976),Propionibacterium avidum
66,Pseudomonas aeruginosa strain LMG 1242T (1907091),Pseudomonas aeruginosa
67,Selenomonas sp. oral clone AA024 (9837490),Selenomonas sp.
68,Staphylococcus capitis (576605),Staphylococcus capitis
69,Streptococcus gordonii (2183315),Streptococcus gordonii
70,Streptococcus sp. oral clone BW009 (9988906),Streptococcus sp.
71,Streptococcus sp. oral strain T1-E5 (14537933),Streptococcus sp.
72,Streptococcus sp. oral strain T4-E3 (14537934),Streptococcus sp.
73,Tannerella forsythia (289382),Tannerella forsythia
74,Treponema pectinovorum 8:A:33768 (3757506),Treponema pectinovorum
75,Treponema pectinovorum OMZ831 (10764812),Treponema pectinovorum
76,Treponema socranskii (2653630),Treponema socranskii
77,Treponema sp. II:C:T1 (2586354),Treponema sp.
78,Abiotrophia elegans (2460062),Abiotrophia elegans
79,Actinomyces sp. (10946538),Actinomyces sp.
80,Actinomyces sp. (9837444),Actinomyces sp.
81,Bacteroides-like sp. (9988930),uncultured Bacteroides sp.
82,Bacteroides-like sp. (9988936),uncultured Bacteroides sp.
83,Bifidobacterium sp. (9837452),Bifidobacterium sp.
84,Butyrivibrio sp. (9837461),Butyrivibrio sp.
85,Campylobacter sp. (10048314),Campylobacter sp.
86,Capnocytophaga haemolytica (1199611),Capnocytophaga haemolytica
87,Capnocytophaga sp. (9988944),Capnocytophaga sp.
88,Capnocytophaga sputigena (289579),Capnocytophaga sputigena
89,Caryophanon sp. (14537944),Caryophanon sp.
90,Clostridium tetanomorphum (535115),Clostridium tetanomorphum
91,Dialister sp. (9837479),Dialister sp.
92,Dialister sp. (9837481),Dialister sp.
93,Eubacterium infirmum (3299817),Eubacterium infirmum
94,Eubacterium saphenum (1513214),Eubacterium saphenum
95,Eubacterium sp. (14537903),Eubacterium sp.
96,Eubacterium sp. (14537961),Eubacterium sp.
97,Eubacterium sp. (14537971),Eubacterium sp.
98,Eubacterium sp. (14537976),Eubacterium sp.
99,Eubacterium sp. (14537982),Eubacterium sp.
100,Eubacterium sp. (3861469),Eubacterium sp.
101,Eubacterium sp. (9837459),Eubacterium sp.
102,Filifactor alocis (4127826),Filifactor alocis
103,Firmicutes sp. (9837472),uncultured Firmicutes bacterium
104,Flexistipes-like sp. (9858891),uncultured Flexistipes sp.
105,Fusobacterium nucleatum (43402),Fusobacterium nucleatum
106,Granulicatella elegans (3123332),Granulicatella elegans
107,Haemophilus segnis (174775),Haemophilus segnis
108,Human oral sp. (6671248),uncultured human oral bacterium
109,Klebsiella pneumoniae (3282032),Klebsiella pneumoniae
110,Lactobacillus sp. (9988912),Lactobacillus sp.
111,Leptotrichia sp. (14537981),Leptotrichia sp.
112,Leptotrichia sp. (9837506),Leptotrichia sp.
113,Leptotrichia sp. (9837507),Leptotrichia sp.
114,Leptotrichia sp. (9837509),Leptotrichia sp.
115,Megasphaera sp. (14537975),Megasphaera sp.
116,Megasphaera sp. (9837476),Megasphaera sp.
117,Mogibacterium diversum (6942242),Mogibacterium diversum
118,Neisseria flava (5327199),Neisseria flava
119,Neisseria pharyngis (5327180),Neisseria pharyngis
120,Neisseria sp. (10048301),Neisseria sp.
121,Peptostreptococcus anaerobius (175621),Peptostreptococcus anaerobius
122,Peptostreptococcus asaccharolyticus (454180),Peptostreptococcus asaccharolyticus
123,Peptostreptococcus magnus (454441),Peptostreptococcus magnus
124,Peptostreptococcus sp. (9837456),Peptostreptococcus sp.
125,Porphyromonas endodontalis (294287),Porphyromonas endodontalis
126,Porphyromonas gingivalis (509140),Porphyromonas gingivalis
127,Porphyromonas-like sp. (9988934),uncultured Porphyromonas sp.
128,Porphyromonas-like sp. (9988935),uncultured Porphyromonas sp.
129,Prevotella bivia (294429),Prevotella bivia
130,Prevotella buccae (294432),Prevotella buccae
131,Prevotella buccalis (294430),Prevotella buccalis
132,Prevotella dentalis (1565276),Prevotella dentalis
133,Prevotella denticola (294420),Prevotella denticola
134,Prevotella enoeca (3114912),Prevotella enoeca
135,Prevotella intermedia (294422),Prevotella intermedia
136,Prevotella nigrescens (294425),Prevotella nigrescens
137,Prevotella nigrescens (509071),Prevotella nigrescens
138,Prevotella oralis (294434),Prevotella oralis
139,Prevotella oris (294428),Prevotella oris
140,Prevotella pallens (2108322),Prevotella pallens
141,Prevotella sp. (14537917),Prevotella sp.
142,Prevotella sp. (14537920),Prevotella sp.
143,Prevotella sp. (14537923),Prevotella sp.
144,Prevotella sp. (14537927),Prevotella sp.
145,Prevotella sp. (14537960),Prevotella sp.
146,Prevotella sp. (14537973),Prevotella sp.
147,Prevotella sp. (29165644),Prevotella sp.
148,Prevotella sp. (9988917),Prevotella sp.
149,Prevotella sp. (9988918),Prevotella sp.
150,Prevotella sp. (9988920),Prevotella sp.
151,Prevotella sp. (9988923),Prevotella sp.
152,Prevotella sp. (9988929),Prevotella sp.
153,Prevotella tannerae (10039600),Prevotella tannerae
154,Prevotella veroralis (294427),Prevotella veroralis
155,Prevotella zoogleoformans (289379),Prevotella zoogleoformans
156,Selenomonas sp. (9837488),Selenomonas sp.
157,Selenomonas sp. (9837490),Selenomonas sp.
158,Staphylococcus epidermidis (1199945),Staphylococcus epidermidis
159,Staphylococcus xylosus (1199956),Staphylococcus xylosus
160,Streptococcus sobrinus (5578902),Streptococcus sobrinus
161,Streptococcus sp. (16612184),Streptococcus sp.
162,Streptococcus sp. (9988906),Streptococcus sp.
163,Tannerella forsythia (10946530),Tannerella forsythia
164,TM7 phylum sp. (14537928),Candidatus Saccharimonadota bacterium
165,Treponema denticola (4580728),Treponema denticola
166,Treponema socranskii (2653627),Treponema socranskii
167,Treponema sp. (14537906),Treponema sp.
168,Treponema sp. (2586354),Treponema sp.
169,Treponema sp. (2586355),Treponema sp.
170,Treponema sp. (2586361),Treponema sp.
171,Treponema sp. (2586364),Treponema sp.
172,Treponema sp. (2586367),Treponema sp.
173,Treponema sp. (3132614),Treponema sp.
174,Uncultured bacterium sp. (4530523),uncultured bacterium
175,Uncultured bacterium sp. (4680614),uncultured bacterium
176,Uncultured bacterium sp. (9858892),uncultured bacterium
177,Uncultured human sp. (6671255),uncultured human sp.
178,Veillonella dispar (793883),Veillonella dispar
179,Bacteroidales sp. Bacteroidales sp. HOT 274,uncultured Bacteroidales bacterium
180,Fretibacterium sp. HOT 360,Fretibacterium sp.
181,TM7 TM7 sp. HOT 356,Candidatus Saccharimonadota bacterium
182,Abiotrophia defectiva HOT 389,Abiotrophia defectiva
183,Alloprevotella rava HOT 302,Alloprevotella rava
184,Alloprevotella tannerae HOT 466,Alloprevotella tannerae
185,Atopobium sp. oral taxon 199 HOT 199,Atopobium sp.
186,Bacteroidaceae[G-1] sp. oral taxon 272 HOT 272,uncultured Bacteroidaceae bacterium
187,Campylobacter rectus HOT 748,Campylobacter rectus
188,Centipeda periodontii HOT 726,Centipeda periodontii
189,Desulfobulbus sp. oral taxon 041 HOT 41,Desulfobulbus sp.
190,Eubacterium[11][G-5] saphenum HOT 759,Eubacterium saphenum
191,Eubacterium[11][G-7] yurii HOT 377,Eubacterium yurii
192,Johnsonella ignava HOT 635,Johnsonella ignava
193,Jonquetella anthropi HOT 777,Jonquetella anthropi
194,Olsenella uli HOT 38,Olsenella uli
195,Peptoniphilus sp. oral taxon 386 HOT 386,Peptoniphilus sp.
196,Prevotella buccae HOT 560,Prevotella buccae
197,Prevotella dentalis HOT 583,Prevotella dentalis
198,Prevotella intermedia HOT 643,Prevotella intermedia
199,Prevotella multiformis HOT 685,Prevotella multiformis
200,Pyramidobacter piscolens HOT 357,Pyramidobacter piscolens
201,Scardovia inopinata HOT 642,Scardovia inopinata
202,Slackia exigua HOT 602,Slackia exigua
203,Treponema maltophilum HOT 664,Treponema maltophilum
204,Treponema medium HOT 667,Treponema medium
205,Treponema pallidum HOT 805,Treponema pallidum
206,Treponema vincentii HOT 29,Treponema vincentii
207,Eubacterium 11G6 nodatum_ot694,Eubacterium nodatum
208,Eubacterium 11G7 yurii_ot377,Eubacterium yurii
209,Selenomonas sputigena_ot143_151,Selenomonas sputigena
210,Streptococcus anginosus and gordonii_ot543_622,Streptococcus anginosus;Streptococcus gordonii
211,Actinomyces cardiffensis HOT 850 V1-2 190,Actinomyces cardiffensis
212,Actinomyces israelii HOT 645 V1-2 108,Actinomyces israelii
213,Actinomyces sp. V1-2 517,Actinomyces sp.
214,Anaeroglobus sp. V1-2 246,Anaeroglobus sp.
215,Anaerovorax sp. V1-2 302,Anaerovorax sp.
216,Atopobium rimae HOT 750 V1-2 82,Atopobium rimae
217,Bacteroidaceae G1 sp. HOT 272 V1-2 140,uncultured Bacteroidaceae bacterium
218,Bacteroides heparinolyticus HOT 630 V1-2 448,Bacteroides heparinolyticus
219,Bacteroidetes G3 sp. HOT 280 V1-2 409,uncultured Bacteroidetes bacterium
220,Brachymonas sp. V1-2 189,Brachymonas sp.
221,Chloroflexi G1 sp. HOT 439 V1-2 347,uncultured Chloroflexi bacterium
222,Clostridiales F2 G1 sp. HOT 075 V1-2 267,uncultured Clostridiales bacterium
223,Clostridiates sp. V1-2 247,uncultured Clostridiales bacterium
224,Desulfobulbus sp. HOT 041 V1-2 11,Desulfobulbus sp.
225,Dialister sp. V1-2 146,Dialister sp.
226,Eggerthia sp. V1-2 293,Eggerthia sp.
227,Erysipelotrichaceae G1 sp. HOT 905 V1-2 380,uncultured Erysipelotrichaceae bacterium
228,Eubacterium XI G6 sp. V1-2 55,Eubacterium sp.
229,Filifactor alocis HOT 539 V1-2 126,Filifactor alocis
230,Filifactor sp. V1-2 200,Filifactor sp.
231,Filifactor sp. V1-2 560,Filifactor sp.
232,Fretibacterium fastidiosum HOT 363 V1-2 268,Fretibacterium fastidiosum
233,Fretibacterium fastidiosum HOT 363 V1-2 50,Fretibacterium fastidiosum
234,Fretibacterium sp. HOT 360 V1-2 22,Fretibacterium sp.
235,Fretibacterium sp. HOT 453 V1-2 101,Fretibacterium sp.
236,Fretibacterium sp. V1-2 64,Fretibacterium sp.
237,Fretibacterium sp. V1-2 73,Fretibacterium sp.
238,Fusobacterium nucleatum ss. nucleatum HOT 698 V1-2 427,Fusobacterium nucleatum subsp. nucleatum
239,Fusobacterium nucleatum ss. vincentii HOT 200 V1-2 245,Fusobacterium nucleatum subsp. vincentii
240,Fusobacterium nucleatum ss. vincentii HOT 200 V1-2 68,Fusobacterium nucleatum subsp. vincentii
241,Mogibacterium timidum HOT 42 V1-2 145,Mogibacterium timidum
242,Mycoplasma faucium HOT 606 V1-2 192,Mycoplasma faucium
243,Mycoplasma salivarium HOT 754 V1-2 241,Mycoplasma salivarium
244,Olsenella uli HOT 038 V1-2 208,Olsenella uli
245,Peptostreptococcus stomatis HOT 112 V1-2 303,Peptostreptococcus stomatis
246,Porphyromonas gingivalis HOT 619 V1-2 2,Porphyromonas gingivalis
247,Porphyromonas sp. V1-2 124,Porphyromonas sp.
248,Porphyromonas sp. V1-2 512,Porphyromonas sp.
249,Treponema socranskii ss. buccale HOT 769 V1-2 165,Treponema socranskii subsp. buccale
250,Treponema sp. V1-2 425,Treponema sp.
251,Veillonellaceae G1 sp. HOT 918 V1-2 260,uncultured Veillonellaceae bacterium
252,Desulfobulbus oral taxon 041,Desulfobulbus sp.
253,Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii
254,Peptostreptococcus oral taxon 103,Peptostreptococcus sp.
255,Prevotella oral taxon 526,Prevotella sp.
256,Synergistetes oral taxon 360,Candidatus Synergistetes bacterium
257,Synergistetes oral taxon 361,Candidatus Synergistetes bacterium
258,Synergistetes oral taxon 363,Candidatus Synergistetes bacterium
259,Synergistetes oral taxon 452,Candidatus Synergistetes bacterium
260,Bacteroidetes_G_2 sp. oral taxon 274,uncultured Bacteroidetes bacterium
261,Filifactor alocis oral taxon 539,Filifactor alocis
262,Fusobacterium nucleatum subsp. vincentii oral taxon 200,Fusobacterium nucleatum subsp. vincentii
263,Parvimonas micra oral taxon 111,Parvimonas micra
264,Porphyromonas endodontalis oral taxon 273,Porphyromonas endodontalis
265,Peptostreptococcus unclassified,Peptostreptococcus sp.
266,Synergistes unclassified,uncultured Synergistetes bacterium
267,TM7 401H12,Candidatus Saccharimonadota bacterium
268,Desulfobulbus R004,Desulfobulbus sp.
269,Streptococcus intermedius constellatus,Streptococcus intermedius;Streptococcus constellatus
270,Synergistes oral taxon 362,Candidatus Synergistetes bacterium
271,Synergistes oral taxon 363,Candidatus Synergistetes bacterium
272,TM7 TM7 401H12,Candidatus Saccharimonadota bacterium
273,Uncultured Lachnospiraceae JM048,uncultured Lachnospiraceae bacterium
274,Clostridium unclassified Clostridiales MCE10 174,uncultured Clostridium sp.
275,Veillonellaceae oral taxon 135 145 148 155,uncultured Veillonellaceae bacterium
276,Actinobaculum sp. HOT183/AA85,Actinobaculum sp.
277,Aggregatibacter actinomycetemcomitans HOT531/P02,Aggregatibacter actinomycetemcomitans
278,Alloprevotella tannerae HOT466/AB03,Alloprevotella tannerae
279,Anaeroglobus geminatus HOT121/AA56,Anaeroglobus geminatus
280,Anaeroglobus geminatus HOT121/AG13,Anaeroglobus geminatus
281,Bacteroidaceae G1 sp. Bacteroidaceae G1 sp. HOT272/X17,uncultured Bacteroidaceae bacterium
282,Bacteroidales G2 sp. Bacteroidales G2 sp. HOT274/AG14,uncultured Bacteroidales bacterium
283,Bacteroidales G2 sp. Bacteroidales G2 sp. HOT274/AG15,uncultured Bacteroidales bacterium
284,Bacteroidales G2 sp. Bacteroidales G2 sp. HOT274/X57,uncultured Bacteroidales bacterium
285,Campylobacter concisus HOT575,Campylobacter concisus
286,Campylobacter rectus HOT748/T8,Campylobacter rectus
287,Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3,Campylobacter concisus;Campylobacter rectus
288,Campylobacter curvus HOT580/Campylobacter rectus HOT748A,Campylobacter curvus;Campylobacter rectus
289,Campylobacter curvus HOT580/Campylobacter rectus HOT748CA,Campylobacter curvus;Campylobacter rectus
290,Campylobacter gracilis HOT623/Q04,Campylobacter gracilis
291,Catonella morbi HOT165/Catonella sp. HOT164/056,Catonella morbi;Catonella sp.
292,Desulfobulbus sp. HOT041/K70,Desulfobulbus sp.
293,Dialister invisus HOT118/AG32,Dialister invisus
294,Dialister invisus HOT118/AG33,Dialister invisus
295,Dialister pneumosintes HOT736/AG34,Dialister pneumosintes
296,Dialister pneumosintes HOT736/X78,Dialister pneumosintes
297,Elusimicrobium 11 G6 minutum HOT673/AG4 4,Elusimicrobium minutum
298,Elusimicrobium 11 G6 minutum HOT673/AG4 5,Elusimicrobium minutum
299,Eubacterium 11 G3 brachy HOT557/047,Eubacterium brachy
300,Eubacterium 11 G3 brachy HOT557/ACO3,Eubacterium brachy
301,Eubacterium 11 G5 saphenum HOT759/AA71,Eubacterium saphenum
302,Eubacterium 11 G6 nodatum HOT694/Y46,Eubacterium nodatum
303,Filifactor alocis HOT539/AA69,Filifactor alocis
304,Fretibacterium Cluster/D70,Fretibacterium sp.
305,Fretibacterium sp. HOT359/Fretibacterium sp. HOT362/AC53,Fretibacterium sp.
306,Fretibacterium sp. HOT360/AG48,Fretibacterium sp.
307,Fusobacterium Cluster/AE01,Fusobacterium sp.
308,Lachnospiraceae G5 sp. Lachnospiraceae G5 sp. HOT080/AA65,uncultured Lachnospiraceae bacterium
309,Leptotrichia Leptotrichiaceae G1 spp. HOT210/220/492,Leptotrichia sp.
310,Leptotrichia Leptotrichiaceae G1 spp. HOT210/220/AD17,Leptotrichia sp.
311,Parvimonas micra HOT111/AG78,Parvimonas micra
312,Parvimonas micra HOT111/V05,Parvimonas micra
313,Pasteurella stomatis HOT112/AG87,Pasteurella stomatis
314,Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49,uncultured Peptostreptococcaceae bacterium
315,Selenomonas sp. HMT-481,Selenomonas sp.
316,Selenomonas sp. HMT-479,Selenomonas sp.
317,Selenomonas sp. HMT-442,Selenomonas sp.
318,Selenomonas sp. HMT-146,Selenomonas sp.
319,Selenomonas sp. HMT-892,Selenomonas sp.
320,Selenomonas sp. HMT-126,Selenomonas sp.
321,Porphyromonas spp. HOT285,Porphyromonas sp.
322,Porphyromonas endodontalis HOT273/Porphyromonas spp. HOT285,Porphyromonas endodontalis;Porphyromonas sp.
323,Porphyromonas gingivalis HOT619/AA93,Porphyromonas gingivalis
324,Porphyromonas gingivalis HOT619/X21,Porphyromonas gingivalis
325,Porphyromonas sp. HOT279/Q93,Porphyromonas sp.
326,Prevotella Cluster II/AA44,Prevotella sp.
327,Prevotella intermedia HOT643/AB92,Prevotella intermedia
328,Prevotella intermedia HOT643/AD06,Prevotella intermedia
329,Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65,Prevotella loescheii
330,Prevotella sp. HMT-317,Prevotella sp.
331,Prevotella sp. HMT-472,Prevotella sp.
332,Pseudoramibacter alactolyticus HOT538/AB70,Pseudoramibacter alactolyticus
333,Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A,Selenomonas infelix;Selenomonas sp.
334,Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O,Selenomonas infelix;Selenomonas sp.
335,Selenomonas spp. HOT134/442/Y73,Selenomonas sp.
336,Selenomonas spp. HOT138/146/892/Q52,Selenomonas sp.
337,Solobacterium moorei HOT678/AC01,Solobacterium moorei
338,TM7 G1 spp. TM7 G1 spp. HOT346/347/AH43,Candidatus Saccharimonadota bacterium
339,TM7 [G-1] bacterium HMT-347,Candidatus Saccharimonadota bacterium
340,TM7 [G-1] bacterium HMT-349,Candidatus Saccharimonadota bacterium
341,TM7 G1 spp. TM7 G1 spp. HOT346/349/W85,Candidatus Saccharimonadota bacterium
342,Tannerella forsythia HOT613/X56,Tannerella forsythia
343,Treponema denticola HOT584/040,Treponema denticola
344,Treponema lecithinolyticum HOT653/ABO7,Treponema lecithinolyticum
345,Treponema maltophilum HOT664/001,Treponema maltophilum
346,Treponema parvum HOT724/AC39,Treponema parvum
347,Treponema sp. HOT257/AH45,Treponema sp.
348,Veillonella [G1] sp. HMT-148,Veillonella sp.
349,Veillonella [G1] sp. HMT-135,Veillonella sp.
350,Treponema sp. HMT-242,Treponema sp.
351,Treponema spp. HOT237/242/F89,Treponema sp.
352,Veillonella [G1] bacterium HMT-148,Veillonella sp.
353,Veillonella [G1] bacterium HMT-150,Veillonella sp.
354,Veillonella [G1] bacterium HMT-135,Veillonella sp.
355,Veillonella Veillonellaceae G1 spp. HOT129/150/AF97,Veillonella sp.
356,Bacteroidetes [G-1] Bacteroidetes [G-1] sp. OT 272,uncultured Bacteroidetes bacterium
357,Bacteroidetes [G-3] Bacteroidetes [G-3] sp. OT 280,uncultured Bacteroidetes bacterium
358,Bacteroidetes [G-6] Bacteroidetes [G-6] sp. OT 516,uncultured Bacteroidetes bacterium
359,Chloroflexi [G-1] Chloroflexi [G-1] sp. OT 439,uncultured Chloroflexi bacterium
360,Desulfobulbus sp. OT 041,Desulfobulbus sp.
361,Eubacterium [11][G-6] Eubacterium [11][G-6] minutum OT 673,Eubacterium minutum
362,Eubacterium [11][G-6] Eubacterium [11][G-6] nodatum OT 694,Eubacterium nodatum
363,Eubacterium [XI][G-3] Eubacterium [XI][G-3] brachy OT 557,Eubacterium brachy
364,Eubacterium [XI][G-5] Eubacterium [XI][G-5] saphenum OT 759,Eubacterium saphenum
365,Filifactor alocis OT 539,Filifactor alocis
366,Johnsonella sp. OT 166,Johnsonella ignava
367,Lachnospiraceae [G-4] Lachnospiraceae [G-4] sp. OT 373,uncultured Lachnospiraceae bacterium
368,Lachnospiraceae [G-8] Lachnospiraceae [G-8] sp. OT 500,uncultured Lachnospiraceae bacterium
369,Mogibacterium timidum OT 042,Mogibacterium timidum
370,Mycoplasma faucium OT 606,Mycoplasma faucium
371,Parvimonas micra OT 111,Parvimonas micra
372,Peptostreptococcaceae [X1] Peptostreptococcaceae [X1] [G-2] sp. OT 091,uncultured Peptostreptococcaceae bacterium
373,Peptostreptococcaceae [XIII] Peptostreptococcaceae [XIII][G-1] sp. OT 113,uncultured Peptostreptococcaceae bacterium
374,Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-4] sp. OT 369,uncultured Peptostreptococcaceae bacterium
375,Peptostreptococcus stomatis OT 112,Peptostreptococcus stomatis
376,Porphyromonas endodontalis OT 273,Porphyromonas endodontalis
377,Porphyromonas gingivalis OT 619,Porphyromonas gingivalis
378,Pseudoramibacter alactolyticus OT 538,Pseudoramibacter alactolyticus
379,Selenomonas sputigena OT 151,Selenomonas sputigena
380,Streptococcus constellatus OT 576,Streptococcus constellatus
381,Streptococcus sp. OT 071,Streptococcus sp.
382,Synergistetes [G-3] Synergistetes [G-3] sp. OT 360,Candidatus Synergistetes bacterium
383,Synergistetes [G-3] Synergistetes [G-3] sp. OT 362,Candidatus Synergistetes bacterium
384,Synergistetes [G-3] Synergistetes [G-3] sp. OT 363,Candidatus Synergistetes bacterium
385,Synergistetes [G-3] Synergistetes [G-3] sp. OT 361,Candidatus Synergistetes bacterium
386,TM7 [G-1] TM7 [G-1] sp. OT 346,Candidatus Saccharimonadota bacterium
387,TM7 [G-5] TM7 [G-5] sp. OT 356,Candidatus Saccharimonadota bacterium
388,TMZ [G-1] TMZ [G-1] sp. OT 349,Candidatus Saccharimonadota bacterium
389,Tannerella forsythia OT 613,Tannerella forsythia
390,Treponema denticola OT 584,Treponema denticola
391,Treponema lecithinolyticum OT 653,Treponema lecithinolyticum
392,Treponema maltophilum OT 664,Treponema maltophilum
393,Treponema socranskii OT 769,Treponema socranskii
394,Treponema medium OT 667,Treponema medium
395,Treponema sp. OT 257,Treponema sp.
396,Treponema sp. OT 237,Treponema sp.
397,Veillonellaceae [G-1] Veillonellaceae [G-1] sp. OT 145,uncultured Veillonellaceae bacterium
398,Enterobacter cancerogenus OT 565,Enterobacter cancerogenus
399,Streptococcus spp.,Streptococcus sp.
400,Veillonella spp.,Veillonella sp.
401,Eubacterium [XI][G-6] Eubacterium [XI][G-6] nodatum OT 694,Eubacterium nodatum
402,Peptostreptococcaceae [XI] Peptostreptococcaceae [XI][G-2] sp. OT 091,uncultured Peptostreptococcaceae bacterium
403,Synergistetes [G-3] sp. OT 362,Candidatus Synergistetes bacterium
404,Synergistetes [G-3] sp. OT 363,Candidatus Synergistetes bacterium
405,TM7 [G-1] sp. OT 349,Candidatus Saccharimonadota bacterium
406,TM7 [G-5] sp. OT 356,Candidatus Saccharimonadota bacterium
407,Veillonellaceae [G-1] sp. OT 145,uncultured Veillonellaceae bacterium
408,Bacteroidetes [G-3] sp. OT 280,uncultured Bacteroidetes bacterium
409,Bacteroidetes [G-6] sp. OT 516,uncultured Bacteroidetes bacterium
410,Eubacterium [XI][G-6] minutum OT 673,Eubacterium minutum
411,Lachnospiraceae [G-4] sp. OT 373,uncultured Lachnospiraceae bacterium
412,Synergistetes [G-3] sp. OT 361,Candidatus Synergistetes bacterium
413,Prevotella endonticula,Prevotella endodenticulata
414,Selenomonas sp. CS002 (OT 131),Selenomonas sp.
415,Actinomyces spp.,Actinomyces sp.
416,Streptococcus micra,Parvimonas micra
417,Bacteroidetes spp.,uncultured Bacteroidetes bacterium
418,Dialister invisus/pneumosintes,Dialister invisus;Dialister pneumosintes
419,Prevotella spp.,Prevotella sp.
420,Propionibacterium propionicum,Propionibacterium propionicum
421,Sphaerocytophaga spp.,Sphaerocytophaga sp.
422,Synergistes sp. OT 170,Synergistetes sp.
423,Treponema spp.,Treponema sp.
424,Aggregatibacter actinomycetemcomitans serotype b,Aggregatibacter actinomycetemcomitans
