"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"16",NA,NA,NA,NA,"Pseudomonas aeruginosa",NA,"Selenomonas","Selenomonas sputigena",NA,"sputigena",NA
"17",NA,NA,NA,NA,"Dialister invisus",NA,"Tannerella","Tannerella forsythia",NA,"forsythia",NA
"18",NA,NA,NA,NA,"Filifactor alocis",NA,"Tannerella","Tannerella forsythia",NA,"forsythia",NA
"19",NA,NA,NA,NA,"unclassified",NA,"Dialister","Dialister pneumosintes",NA,"pneumosintes",NA
"20",NA,NA,NA,NA,"Streptococcus intermedius constellatus",NA,"Filifactor","Filifactor alocis",NA,"alocis",NA
"21",NA,NA,NA,NA,"unclassified",NA,"Porphyromonas","Porphyromonas endodontalis",NA,"endontalis",NA
"22",NA,NA,NA,NA,"TM7 401H12","TM7 401H12",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,"unclassified",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,"Porphyromonas gingivalis",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,"Actinomyces cardiffensis",NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,"Chloroflexus genomosp. P1","Chloroflexus genomosp. P1",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,"Desulfobulbus Other",NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,"Desulfobulbus R004","Desulfobulbus R004",NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,"Eubacterium Other",NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,"Eubacterium minutum",NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,"Eubacterium saphenum",NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,"Filifactor Other",NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,"Synergistes Other",NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,"Synergistes oral taxon 362","Synergistes oral taxon 362",NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,"Synergistes oral taxon 363","Synergistes oral taxon 363",NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,"Tannerella forsythia",NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,"JM048","JM048",NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,"unclassified Clostridiales MCE10 174","unclassified Clostridiales MCE10 174",NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,"Actinomyces sp.",NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,"Actinomyces dentalis",NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,"Desulfobulbus sp.",NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,"Filifactor sp.",NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,"Fusobacterium sp.",NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,"Peptostreptococcus sp.",NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,"Selenomonas sp.",NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,"Selenomonas sputigena",NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,"Streptococcus sp.",NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,"Synergistes sp.",NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,"oral taxon 135 145 148 155","oral taxon 135 145 148 155",NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,"Actinobaculum sp. HOT183/AA85","Actinobaculum sp. HOT183/AA85",NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,"Aggregatibacter actinomycetemcomitans HOT531/P02","Aggregatibacter actinomycetemcomitans HOT531/P02",NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,"Alloprevotella tannerae HOT466/AB03","Alloprevotella tannerae HOT466/AB03",NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,"Anaeroglobus geminatus HOT121/AA56","Anaeroglobus geminatus HOT121/AA56",NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,"Anaeroglobus geminatus HOT121/AG13","Anaeroglobus geminatus HOT121/AG13",NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,"Bacteroidaceae G1 sp. HOT272/X17","Bacteroidaceae G1 sp. HOT272/X17",NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,"Bacteroidales G2 sp. HOT274/AG14","Bacteroidales G2 sp. HOT274/AG14",NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,"Bacteroidales G2 sp. HOT274/AG15","Bacteroidales G2 sp. HOT274/AG15",NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,"Bacteroidales G2 sp. HOT274/X57","Bacteroidales G2 sp. HOT274/X57",NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,"Campylobacter concisus HOT575","Campylobacter concisus HOT575",NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,"Campylobacter rectus HOT748/T8","Campylobacter rectus HOT748/T8",NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,"Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3","Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3",NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,"Campylobacter curvus HOT580/Campylobacter rectus HOT748A","Campylobacter curvus HOT580/Campylobacter rectus HOT748A",NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,"Campylobacter curvus HOT580/Campylobacter rectus HOT748CA","Campylobacter curvus HOT580/Campylobacter rectus HOT748CA",NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,"Campylobacter gracilis HOT623/Q04","Campylobacter gracilis HOT623/Q04",NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,"Catonella morbi HOT165/Catonella sp. HOT164/056","Catonella morbi HOT165/Catonella sp. HOT164/056",NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,"Desulfobulbus sp. HOT041/K70","Desulfobulbus sp. HOT041/K70",NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,"Dialister invisus HOT118/AG32","Dialister invisus HOT118/AG32",NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,"Dialister invisus HOT118/AG33","Dialister invisus HOT118/AG33",NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,"Dialister pneumosintes HOT736/AG34","Dialister pneumosintes HOT736/AG34",NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,"Dialister pneumosintes HOT736/X78","Dialister pneumosintes HOT736/X78",NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,"Elusimicrobium 11 G6 minutum HOT673/AG4 4","Elusimicrobium 11 G6 minutum HOT673/AG4 4",NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,"Elusimicrobium 11 G6 minutum HOT673/AG4 5","Elusimicrobium 11 G6 minutum HOT673/AG4 5",NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,"Eubacterium 11 G3 brachy HOT557/047","Eubacterium 11 G3 brachy HOT557/047",NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,"Eubacterium 11 G3 brachy HOT557/ACO3","Eubacterium 11 G3 brachy HOT557/ACO3",NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,"Eubacterium 11 G5 saphenum HOT759/AA71","Eubacterium 11 G5 saphenum HOT759/AA71",NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,"Eubacterium 11 G6 nodatum HOT694/Y46","Eubacterium 11 G6 nodatum HOT694/Y46",NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,"Filifactor alocis HOT539/AA69","Filifactor alocis HOT539/AA69",NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,"Fretibacterium Cluster/D70","Fretibacterium Cluster/D70",NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,"Fretibacterium sp. HOT359/Fretibacterium sp. HOT362/AC53","Fretibacterium sp. HOT359/Fretibacterium sp. HOT362/AC53",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,"Fretibacterium sp. HOT360/AG48","Fretibacterium sp. HOT360/AG48",NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,"Fusobacterium Cluster/AE01","Fusobacterium Cluster/AE01",NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,"Lachnospiraceae G5 sp. HOT080/AA65","Lachnospiraceae G5 sp. HOT080/AA65",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,"Leptotrichiaceae G1 spp. HOT210/220/492","Leptotrichiaceae G1 spp. HOT210/220/492",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,"Leptotrichiaceae G1 spp. HOT210/220/AD17","Leptotrichiaceae G1 spp. HOT210/220/AD17",NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,"Parvimonas micra HOT111/AG78","Parvimonas micra HOT111/AG78",NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,"Parvimonas micra HOT111/V05","Parvimonas micra HOT111/V05",NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,"Pasteurella stomatis HOT112/AG87","Pasteurella stomatis HOT112/AG87",NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,"Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49","Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49",NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,"Porphyromonas endodontalis HOT273/Porphyromonas spp. HOT285","Porphyromonas endodontalis HOT273/Porphyromonas spp. HOT285",NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,"Porphyromonas gingivalis HOT619/AA93","Porphyromonas gingivalis HOT619/AA93",NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,"Porphyromonas gingivalis HOT619/X21","Porphyromonas gingivalis HOT619/X21",NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,"Porphyromonas sp. HOT279/Q93","Porphyromonas sp. HOT279/Q93",NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,"Prevotella Cluster II/AA44","Prevotella Cluster II/AA44",NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,"Prevotella intermedia HOT643/AB92","Prevotella intermedia HOT643/AB92",NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,"Prevotella intermedia HOT643/AD06","Prevotella intermedia HOT643/AD06",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,"Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65","Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,"Pseudoramibacter alactolyticus HOT538/AB70","Pseudoramibacter alactolyticus HOT538/AB70",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,"Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A",NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,"Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O",NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,"Selenomonas spp. HOT134/442/Y73","Selenomonas spp. HOT134/442/Y73",NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,"Selenomonas spp. HOT138/146/892/Q52","Selenomonas spp. HOT138/146/892/Q52",NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,"Solobacterium moorei HOT678/AC01","Solobacterium moorei HOT678/AC01",NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,"TM7 G1 spp. HOT346/347/AH43","TM7 G1 spp. HOT346/347/AH43",NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,"TM7 G1 spp. HOT346/349/W85","TM7 G1 spp. HOT346/349/W85",NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,"Tannerella forsythia HOT613/X56","Tannerella forsythia HOT613/X56",NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,"Treponema denticola HOT584/040","Treponema denticola HOT584/040",NA,NA,NA,NA,NA
"107","Actinomycetaceae","Actinomyces","odontolyticus (853707)","odontolyticus (853707)","Treponema lecithinolyticum HOT653/ABO7","Treponema lecithinolyticum HOT653/ABO7",NA,NA,NA,NA,NA
"108","Flavobacteriaceae","Capnocytophaga","sp. oral clone X089 (9988944)","sp. oral clone X089 (9988944)","Treponema maltophilum HOT664/001","Treponema maltophilum HOT664/001",NA,NA,NA,NA,NA
"109","Desulfobulbaceae","Desulfobulbus","sp. oral clone CH031 (10048312)","sp. oral clone CH031 (10048312)","Treponema parvum HOT724/AC39","Treponema parvum HOT724/AC39",NA,NA,NA,NA,NA
"110","Fusobacteriaceae","Fusobacterium","periodonticum",NA,"Treponema sp. HOT257/AH45","Treponema sp. HOT257/AH45",NA,NA,NA,NA,NA
"111","Unclassified","Human oral bacterium","C20 (6671248)","C20 (6671248)","Treponema spp. HOT237/242/F89","Treponema spp. HOT237/242/F89",NA,NA,NA,NA,NA
"112","Enterobacteriaceae","Klebsiella","pneumoniae strain ATCC13884T (3282032)","pneumoniae strain ATCC13884T (3282032)","Veillonellaceae G1 spp. HOT129/135/148/W86","Veillonellaceae G1 spp. HOT129/135/148/W86",NA,NA,NA,NA,NA
"113","Neisseriaceae","Neisseria","flava strain U40 (5327199)","flava strain U40 (5327199)","Veillonellaceae G1 spp. HOT129/150/AF97","Veillonellaceae G1 spp. HOT129/150/AF97",NA,NA,NA,NA,NA
"114","Neisseriaceae","Neisseria","sp. oral clone AP015 (10048301)","sp. oral clone AP015 (10048301)","Filifactor alocis",NA,NA,NA,NA,NA,NA
"115","Neisseriaceae","Neisseria","sp. oral strain B33KA (10048304)","sp. oral strain B33KA (10048304)","Achromobacter xylosoxidans",NA,NA,NA,NA,NA,NA
"116","Neisseriaceae","Neisseria","subflava (5327189)","subflava (5327189)","Acinetobacter baumannii",NA,NA,NA,NA,NA,NA
"117","Prevotellaceae","Prevotella","nigrescens ATCC 33563 (294425)","nigrescens ATCC 33563 (294425)","Actinomyces sp. oral taxon 448","Actinomyces sp. oral taxon 448",NA,NA,NA,NA,NA
"118","Propionibacteriaceae","Propionibacterium","avidum DSM 4901 (2644976)","avidum DSM 4901 (2644976)","Bordetella pertussis",NA,NA,NA,NA,NA,NA
"119","Pseudomonadaceae","Pseudomonas","aeruginosa strain LMG 1242T (1907091)","aeruginosa strain LMG 1242T (1907091)","Bradyrhizobium elkanii",NA,NA,NA,NA,NA,NA
"120","Selenomonadaceae","Selenomonas","sp. oral clone AA024 (9837490)","sp. oral clone AA024 (9837490)","Burkholderia cepacia",NA,NA,NA,NA,NA,NA
"121","Staphylococcaceae","Staphylococcus","capitis (576605)","capitis (576605)","Comamonas testosteroni",NA,NA,NA,NA,NA,NA
"122","Streptococcaceae","Streptococcus","gordonii (2183315)","gordonii (2183315)","Enterococcus italicus",NA,NA,NA,NA,NA,NA
"123","Streptococcaceae","Streptococcus","sp. oral clone BW009 (9988906)","sp. oral clone BW009 (9988906)","Enterococcus saccharolyticus",NA,NA,NA,NA,NA,NA
"124","Streptococcaceae","Streptococcus","sp. oral strain T1-E5 (14537933)","sp. oral strain T1-E5 (14537933)","Escherichia coli",NA,NA,NA,NA,NA,NA
"125","Streptococcaceae","Streptococcus","sp. oral strain T4-E3 (14537934)","sp. oral strain T4-E3 (14537934)","Lactococcus lactis",NA,NA,NA,NA,NA,NA
"126","Tannerellaceae","Tannerella","forsythia (289382)","forsythia (289382)","Neisseria lactamica",NA,NA,NA,NA,NA,NA
"127","Spirochaetaceae","Treponema","pectinovorum 8:A:33768 (3757506)","pectinovorum 8:A:33768 (3757506)","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA
"128","Spirochaetaceae","Treponema","pectinovorum OMZ831 (10764812)","pectinovorum OMZ831 (10764812)","Pseudomonas stutzeri",NA,NA,NA,NA,NA,NA
"129","Spirochaetaceae","Treponema","socranskii (2653630)","socranskii (2653630)","Ralstonia pickettii",NA,NA,NA,NA,NA,NA
"130","Spirochaetaceae","Treponema","sp. II:C:T1 (2586354)","sp. II:C:T1 (2586354)","Scardovia wiggsiae",NA,NA,NA,NA,NA,NA
"131","Aerococcaceae","Abiotrophia","elegans (2460062)","elegans (2460062)","Streptococcus anginosus",NA,NA,NA,NA,NA,NA
"132","Actinomycetaceae","Actinomyces","odontolyticus (853707)",NA,"Streptococcus mutans",NA,NA,NA,NA,NA,NA
"133","Actinomycetaceae","Actinomyces","sp. (10946538)","sp. (10946538)","Streptococcus parasanguinis",NA,NA,NA,NA,NA,NA
"134","Actinomycetaceae","Actinomyces","sp. (9837444)","sp. (9837444)","Synergistetes bacterium",NA,NA,NA,NA,NA,NA
"135","Bacteroidaceae","Bacteroides-like","sp. (9988930)","sp. (9988930)","Treponema denticola",NA,NA,NA,NA,NA,NA
"136","Bacteroidaceae","Bacteroides-like","sp. (9988936)","sp. (9988936)","Bacteroidetes [G-1] sp. OT 272","Bacteroidetes [G-1] sp. OT 272",NA,NA,NA,NA,NA
"137","Bifidobacteriaceae","Bifidobacterium","sp. (9837452)","sp. (9837452)","Bacteroidetes [G-3] sp. OT 280","Bacteroidetes [G-3] sp. OT 280",NA,NA,NA,NA,NA
"138","Lachnospiraceae","Butyrivibrio","sp. (9837461)","sp. (9837461)","Bacteroidetes [G-6] sp. OT 516","Bacteroidetes [G-6] sp. OT 516",NA,NA,NA,NA,NA
"139","Campylobacteraceae","Campylobacter","sp. (10048314)","sp. (10048314)","Chloroflexi [G-1] sp. OT 439","Chloroflexi [G-1] sp. OT 439",NA,NA,NA,NA,NA
"140","Flavobacteriaceae","Capnocytophaga","haemolytica (1199611)","haemolytica (1199611)","Desulfobulbus sp. OT 041","Desulfobulbus sp. OT 041",NA,NA,NA,NA,NA
"141","Flavobacteriaceae","Capnocytophaga","sp. (9988944)","sp. (9988944)","Eubacterium [11][G-6] minutum OT 673","Eubacterium [11][G-6] minutum OT 673",NA,NA,NA,NA,NA
"142","Flavobacteriaceae","Capnocytophaga","sputigena (289579)","sputigena (289579)","Eubacterium [11][G-6] nodatum OT 694","Eubacterium [11][G-6] nodatum OT 694",NA,NA,NA,NA,NA
"143","Caryophanaceae","Caryophanon","sp. (14537944)","sp. (14537944)","Eubacterium [XI][G-3] brachy OT 557","Eubacterium [XI][G-3] brachy OT 557",NA,NA,NA,NA,NA
"144","Clostridiaceae","Clostridium","tetanomorphum (535115)","tetanomorphum (535115)","Eubacterium [XI][G-5] saphenum OT 759","Eubacterium [XI][G-5] saphenum OT 759",NA,NA,NA,NA,NA
"145","Veillonellaceae","Dialister","sp. (9837479)","sp. (9837479)","Filifactor alocis OT 539","Filifactor alocis OT 539",NA,NA,NA,NA,NA
"146","Veillonellaceae","Dialister","sp. (9837481)","sp. (9837481)","Johnsonella sp. OT 166","Johnsonella sp. OT 166",NA,NA,NA,NA,NA
"147","Eubacteriaceae","Eubacterium","infirmum (3299817)","infirmum (3299817)","Lachnospiraceae [G-4] sp. OT 373","Lachnospiraceae [G-4] sp. OT 373",NA,NA,NA,NA,NA
"148","Eubacteriaceae","Eubacterium","saphenum (1513214)","saphenum (1513214)","Lachnospiraceae [G-8] sp. OT 500","Lachnospiraceae [G-8] sp. OT 500",NA,NA,NA,NA,NA
"149","Eubacteriaceae","Eubacterium","sp. (14537903)","sp. (14537903)","Mogibacterium timidum OT 042","Mogibacterium timidum OT 042",NA,NA,NA,NA,NA
"150","Eubacteriaceae","Eubacterium","sp. (14537961)","sp. (14537961)","Mycoplasma faucium OT 606","Mycoplasma faucium OT 606",NA,NA,NA,NA,NA
"151","Eubacteriaceae","Eubacterium","sp. (14537971)","sp. (14537971)","Parvimonas micra OT 111","Parvimonas micra OT 111",NA,NA,NA,NA,NA
"152","Eubacteriaceae","Eubacterium","sp. (14537976)","sp. (14537976)","Peptostreptococcaceae [X1] [G-2] sp. OT 091","Peptostreptococcaceae [X1] [G-2] sp. OT 091",NA,NA,NA,NA,NA
"153","Eubacteriaceae","Eubacterium","sp. (14537982)","sp. (14537982)","Peptostreptococcaceae [XIII][G-1] sp. OT 113","Peptostreptococcaceae [XIII][G-1] sp. OT 113",NA,NA,NA,NA,NA
"154","Eubacteriaceae","Eubacterium","sp. (3861469)","sp. (3861469)","Peptostreptococcaceae [XI][G-4] sp. OT 369","Peptostreptococcaceae [XI][G-4] sp. OT 369",NA,NA,NA,NA,NA
"155","Eubacteriaceae","Eubacterium","sp. (9837459)","sp. (9837459)","Peptostreptococcus stomatis OT 112","Peptostreptococcus stomatis OT 112",NA,NA,NA,NA,NA
"156","Peptostreptococcaceae","Filifactor","alocis (4127826)","alocis (4127826)","Porphyromonas endodontalis OT 273","Porphyromonas endodontalis OT 273",NA,NA,NA,NA,NA
"157","Unclassified","Firmicutes","sp. (9837472)","sp. (9837472)","Porphyromonas gingivalis OT 619","Porphyromonas gingivalis OT 619",NA,NA,NA,NA,NA
"158","Synergistaceae","Flexistipes-like","sp. (9858891)","sp. (9858891)","Pseudoramibacter alactolyticus OT 538","Pseudoramibacter alactolyticus OT 538",NA,NA,NA,NA,NA
"159","Fusobacteriaceae","Fusobacterium","nucleatum (43402)","nucleatum (43402)","Selenomonas sputigena OT 151","Selenomonas sputigena OT 151",NA,NA,NA,NA,NA
"160","Carnobacteriaceae","Granulicatella","elegans (3123332)","elegans (3123332)","Streptococcus constellatus OT 576","Streptococcus constellatus OT 576",NA,NA,NA,NA,NA
"161","Pasteurellaceae","Haemophilus","segnis (174775)","segnis (174775)","Streptococcus sp. OT 071","Streptococcus sp. OT 071",NA,NA,NA,NA,NA
"162","Unclassified","Human oral","sp. (6671248)","sp. (6671248)","Synergistetes [G-3] sp. OT 360","Synergistetes [G-3] sp. OT 360",NA,NA,NA,NA,NA
"163","Enterobacteriaceae","Klebsiella","pneumoniae (3282032)","pneumoniae (3282032)","Synergistetes [G-3] sp. OT 362","Synergistetes [G-3] sp. OT 362",NA,NA,NA,NA,NA
"164","Lactobacillaceae","Lactobacillus","sp. (9988912)","sp. (9988912)","Synergistetes [G-3] sp. OT 363","Synergistetes [G-3] sp. OT 363",NA,NA,NA,NA,NA
"165","Leptotrichiaceae","Leptotrichia","sp. (14537981)","sp. (14537981)","Synergistetes [G-3] sp. OT 361","Synergistetes [G-3] sp. OT 361",NA,NA,NA,NA,NA
"166","Leptotrichiaceae","Leptotrichia","sp. (9837506)","sp. (9837506)","TM7 [G-1] sp. OT 346","TM7 [G-1] sp. OT 346",NA,NA,NA,NA,NA
"167","Leptotrichiaceae","Leptotrichia","sp. (9837507)","sp. (9837507)","TM7 [G-5] sp. OT 356","TM7 [G-5] sp. OT 356",NA,NA,NA,NA,NA
"168","Leptotrichiaceae","Leptotrichia","sp. (9837509)","sp. (9837509)","TMZ [G-1] sp. OT 349","TMZ [G-1] sp. OT 349",NA,NA,NA,NA,NA
"169","Veillonellaceae","Megasphaera","sp. (14537975)","sp. (14537975)","Tannerella forsythia OT 613","Tannerella forsythia OT 613",NA,NA,NA,NA,NA
"170","Veillonellaceae","Megasphaera","sp. (9837476)","sp. (9837476)","Treponema denticola OT 584","Treponema denticola OT 584",NA,NA,NA,NA,NA
"171","Cryptobacteriaceae","Mogibacterium","diversum (6942242)","diversum (6942242)","Treponema lecithinolyticum OT 653","Treponema lecithinolyticum OT 653",NA,NA,NA,NA,NA
"172","Neisseriaceae","Neisseria","flava (5327199)","flava (5327199)","Treponema maltophilum OT 664","Treponema maltophilum OT 664",NA,NA,NA,NA,NA
"173","Neisseriaceae","Neisseria","pharyngis (5327180)","pharyngis (5327180)","Treponema socranskii OT 769","Treponema socranskii OT 769",NA,NA,NA,NA,NA
"174","Neisseriaceae","Neisseria","sp. (10048301)","sp. (10048301)","Treponema medium OT 667","Treponema medium OT 667",NA,NA,NA,NA,NA
"175","Peptostreptococcaceae","Peptostreptococcus","anaerobius (175621)","anaerobius (175621)","Treponema sp. OT 257","Treponema sp. OT 257",NA,NA,NA,NA,NA
"176","Peptostreptococcaceae","Peptostreptococcus","asaccharolyticus (454180)","asaccharolyticus (454180)","Treponema sp. OT 237","Treponema sp. OT 237",NA,NA,NA,NA,NA
"177","Peptostreptococcaceae","Peptostreptococcus","magnus (454441)","magnus (454441)","Veillonellaceae [G-1] sp. OT 145","Veillonellaceae [G-1] sp. OT 145",NA,NA,NA,NA,NA
"178","Peptostreptococcaceae","Peptostreptococcus","sp. (9837456)","sp. (9837456)","Unclassified Clostridiales",NA,NA,NA,NA,NA,NA
